Datetime,USGS_flow,variable,USGS_ID,measurement_unit,qualifiers,series
1990-12-21,0.6425,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-22,0.5758333,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-23,0.51895833,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-24,0.445,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-25,0.36395833,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-26,0.3775,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-27,0.35822916,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-28,0.32854167,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-29,0.34,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-30,0.3040625,streamflow,10132000,ft3/s,"['A', '[91]']",0
1990-12-31,0.255,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-01,0.22083333,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-02,0.185625,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-03,0.18,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-04,0.2554167,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-05,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-06,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-07,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-08,0.7275,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-09,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-10,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-11,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-12,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-13,0.7291667,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-14,0.7316667,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-15,0.7716667,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-16,0.7425,streamflow,10132000,ft3/s,"['A', '[91]']",0
1991-01-17,0.72,streamflow,10132000,ft3/s,"['A', '[91]']",0
